Year;Toplam Turizm Geliri ($);Total Number of Tourists;GDP (Milyar Dolar)
2012;35.717.336;36.463.920;880.56
2013;40.186.327;39.226.225;957.80
2014;41.316.834;41.415.070;938.93
2015;37.700.923;41.617.530;864.31
2016;26.539.007;31.365.329;869.68
2017;31.253.835;38.620.345;858.99
2018;35.920.910;45.628.672;778.97
2019;42.851.777;51.860.042;761.01
2020;36.580.750;40.608.752;720.34
2021;30.309.721;29.357.463;819.87
2022;49.857.029;51.369.025;907.12
2023;55.874.175;57.077.440;1108.02
2024;62.506.762;58.208.631;872.13
